City,Rank,Sunshine hours(City),Cost of a bottle of water(City),Obesity levels(Country),Life expectancy(years) (Country),Pollution(Index score) (City),Annual avg. hours worked,Happiness levels(Country),Outdoor activities(City),Number of take out places(City),Cost of a monthly gym membership(City)
Amsterdam,1,1858,£1.92,0.2040,81.2,30.93,1434,7.44,422,1048,£34.90
Sydney,2,2636,£1.48,0.2900,82.1,26.86,1712,7.22,406,1103,£41.66
Vienna,3,1884,£1.94,0.2010,81,17.33,1501,7.29,132,1008,£25.74
Stockholm,4,1821,£1.72,0.2060,81.8,19.63,1452,7.35,129,598,£37.31
Copenhagen,5,1630,£2.19,0.1970,79.8,21.24,1380,7.64,154,523,£32.53
Helsinki,6,1662,£1.60,0.2220,80.4,13.08,1540,7.8,113,309,£35.23
Berlin,8,1626,£1.55,0.2230,80.6,39.41,1386,7.07,254,1729,£26.11
Barcelona,9,2591,£1.19,0.2380,82.2,65.19,1686,6.4,585,2344,£37.80
Vancouver,10,1938,£1.08,0.2940,81.7,24.26,1670,7.23,218,788,£31.04
Beijing,12,2671,£0.26,0.0620,75.4,85.43,2096,5.12,223,261,£38.62
Bangkok,13,2624,£0.22,0.1000,74.1,76.64,2209,5.99,377,1796,£50.03
Buenos Aires,14,2525,£0.57,0.2830,75.9,52.64,1792,5.97,246,1435,£22.45
Jakarta,17,2983,£0.21,0.0690,68.5,84.39,2282,5.28,114,833,£29.94
Seoul,18,2066,£0.59,0.0470,81.3,57.82,1967,5.87,144,389,£43.03
Geneva,20,1828,£2.62,0.1950,82.6,27.25,1557,7.56,44,444,£70.00
Tel Aviv,21,3311,£1.63,0.2610,81.9,47.28,1898,7.12,139,420,£58.31
Istanbul,22,2218,£0.15,0.3210,74.7,69.49,1832,5.13,419,934,£16.97
Cairo,23,3542,£0.16,0.3200,70.7,91.74,1888,4.15,323,250,£23.25
Taipei,24,1405,£0.57,0.0620,75.4,49.32,2163,5.12,134,717,£34.76
Mumbai,26,2584,£0.15,0.0390,67.3,82.84,2691,3.57,187,1183,£19.54
Dublin,28,1453,£1.40,0.2530,80.5,40.07,1772,7.09,159,659,£37.35
Tokyo,29,1877,£0.76,0.0430,83.2,42.84,1644,5.87,387,5802,£70.82
Hong Kong,31,1836,£0.75,0.0620,75.4,67.46,2171,5.51,277,1257,£57.95
Brussels,33,1546,£2.11,0.2210,80.4,62.67,1583,6.86,55,988,£25.34
Paris,35,1662,£1.95,0.2160,81.8,65.1,1505,6.66,331,4363,£35.93
Sao Paulo,36,2003,£0.44,0.2210,73.9,79.78,2080,6.37,158,3355,£16.07
London,38,1633,£1.16,0.2780,80.4,58.91,1538,7.16,433,6417,£42.71
Johannesburg,39,3124,£0.59,0.2830,56.3,61.83,2245,4.81,194,492,£24.28
Milan,40,1915,£1.15,0.1990,82.7,67.19,1718,6.38,110,2396,£53.49
New York,42,2535,£1.32,0.3620,78.8,57.36,1779,6.94,359,3081,£64.66
Moscow,43,1901,£0.41,0.2310,69.5,57.63,1965,5.54,322,3206,£31.40
Mexico City,44,2555,£0.45,0.2890,76.4,82.78,2137,6.46,192,1313,£41.99
